Vek;Pohlavi;Emocni_inteligence;Social_information_processing;Social_skills;Social_awareness;Obecna_inteligence;Extraverze;Privetivost;Svedomitost;Emocni_Stabilita;Otevrenost;Fake_smiles_score
20;0;127;33;33;36;11;4;5.5;6.5;6;4.5;14
20;0;;;;;;5.5;4.5;3.5;4;6.5;
21;1;161;48;47;36;10;6;5.5;6.5;6;6.5;14
21;0;101;29;21;22;12;;;;;;13
23;0;;;;;;;;;;;
21;0;133;45;45;43;12;6;5;7;5.5;4.5;17
19;0;144;42;36;44;11;4.5;4.5;5.5;1.5;5.5;18
20;0;121;38;37;46;13;;;;;;16
19;0;118;44;26;38;13;3;6;6.5;2;4.5;
21;0;115;38;30;44;10;2.5;4.5;6;4;4;17
22;0;119;29;33;37;9;;;;;;18
20;0;116;41;41;44;9;2;5;6;3.5;5;17
22;1;124;44;27;46;12;4.5;6;6;3;6;1
20;0;120;38;16;34;12;3;5;6.5;4;5;17
20;0;127;38;28;37;12;3.5;6;4.5;4;6;16
20;0;121;41;25;36;13;4.5;4.5;6;3.5;6;17
19;0;105;34;29;30;14;5.5;6;4;5;3;13
19;0;141;43;38;44;12;2.5;4.5;6;2.5;6;15
22;0;142;44;39;;10;;;;;;
19;0;126;39;21;41;12;3.5;5.5;5.5;6;5;18
21;0;120;35;26;;11;2.5;6;6;5;5.5;16
22;0;129;36;41;42;;4.5;4.5;5.5;3;5;
25;1;125;43;41;39;;;;;;;18
20;0;126;36;21;31;12;;;;;;17
19;0;125;41;24;36;15;3;6;4.5;2.5;4.5;19
19;0;118;39;29;40;10;2.5;4.5;5.5;6;2.5;14
26;0;139;39;43;35;10;;;;;;13
19;0;113;36;30;40;14;4;6.5;5;5;5;16
20;1;124;34;33;24;11;4;4.5;4;5;3.5;13
21;1;139;39;21;35;10;;;;;;13
24;0;127;37;29;38;11;;;;;;16
20;0;138;39;45;44;9;;;;;;17
21;0;134;38;35;40;;5;4.5;5;5.5;5.5;18
19;0;121;41;20;38;14;4;6;5.5;3;3;17
19;0;124;41;33;44;13;3.5;5;6;3.5;5.5;18
22;0;121;39;21;35;10;3.5;6.5;5;2.5;5.5;11
19;0;126;38;32;34;10;;;;;;13
20;0;131;42;38;44;10;4.5;5.5;5.5;3;3.5;17
20;0;120;33;31;44;11;2.5;6.5;5.5;6;5.5;16
20;0;;;;;;;;;;;
20;0;144;36;30;33;12;;;;;;16
21;0;132;44;43;44;12;5.5;5;4.5;5.5;5;18
20;0;;;;;;;;;;;
20;0;137;39;45;42;10;6.5;6;6.5;3;7;15
19;1;120;33;21;24;;;;;;;
20;0;122;42;41;44;14;4.5;5;4;4.5;6;17
20;0;122;41;34;37;13;5.5;4.5;6.5;2;5;20
29;0;;;;;;3;5.5;4.5;6.5;6.5;18
20;0;137;37;42;31;12;;;;;;17
22;0;;;;;;4;7;5.5;1.5;2.5;
20;0;;;;;;6.5;5.5;1.5;2.5;7;
22;0;141;44;47;46;;5.5;5;5;5.5;6;20
22;0;149;48;40;45;12;6;6;7;5;5.5;16
43;1;118;29;39;27;11;;;;;;18
21;0;;;;;;;;;;;
20;0;99;42;35;38;12;4.5;3.5;2.5;2;6;16
21;0;127;43;34;44;14;4.5;4.5;4.5;2.5;4;18
19;0;140;49;41;48;9;4;5;7;6.5;6;16
21;0;130;39;24;40;9;3;6.5;7;3.5;6;15
20;1;124;41;38;39;12;;;;;;14
22;0;;;;;;;;;;;
19;1;;;;;;;;;;;
20;0;146;42;42;42;12;6;4.5;6.5;4.5;6.5;13
21;0;139;42;41;41;12;;;;;;17
24;1;115;42;17;43;;1;5;4;4.5;6.5;14
