Vek;Pohlavi;Obecna_inteligence;CRT_Long;Cognitive_Biases_Sum;Emocni_inteligence;Social_information_processing;Social_skills;Social_awareness;Extraverze;Privetivost;Svedomitost;Emocni_stabilita;Otevrenost
20;0;11;5;2;127;33;33;36;4;5.5;6.5;6;4.5
20;0;;;;;;;;5.5;4.5;3.5;4;6.5
21;1;10;8;2;161;48;47;36;6;5.5;6.5;6;6.5
21;0;12;6;4;101;29;21;22;;;;;
23;0;;;;;;;;;;;;
21;0;12;5;2;133;45;45;43;6;5;7;5.5;4.5
19;0;11;8;3;144;42;36;44;4.5;4.5;5.5;1.5;5.5
20;0;13;5;2;121;38;37;46;;;;;
19;0;13;;;118;44;26;38;3;6;6.5;2;4.5
21;0;10;3;2;115;38;30;44;2.5;4.5;6;4;4
22;0;9;;;119;29;33;37;;;;;
20;0;9;;;116;41;41;44;2;5;6;3.5;5
22;1;12;;;124;44;27;46;4.5;6;6;3;6
20;0;12;5;2;120;38;16;34;3;5;6.5;4;5
20;0;12;8;2;127;38;28;37;3.5;6;4.5;4;6
20;0;13;7;3;121;41;25;36;4.5;4.5;6;3.5;6
19;0;14;8;0;105;34;29;30;5.5;6;4;5;3
19;0;12;;;141;43;38;44;2.5;4.5;6;2.5;6
22;0;10;1;3;142;44;39;;;;;;
19;0;12;4;2;126;39;21;41;3.5;5.5;5.5;6;5
21;0;11;8;0;120;35;26;;2.5;6;6;5;5.5
22;0;;9;1;;;;;4.5;4.5;5.5;3;5
25;1;;;;125;43;41;39;;;;;
20;0;12;;;126;36;21;31;;;;;
19;0;15;7;1;125;41;24;36;3;6;4.5;2.5;4.5
19;0;10;;;118;39;29;40;2.5;4.5;5.5;6;2.5
26;0;10;;;139;39;43;35;;;;;
19;0;14;6;3;113;36;30;40;4;6.5;5;5;5
20;1;11;5;1;124;34;33;24;4;4.5;4;5;3.5
21;1;;;;;;;;;;;;
24;0;11;;;127;37;29;38;;;;;
20;0;9;;;138;39;45;44;;;;;
21;0;;;;;;;;5;4.5;5;5.5;5.5
19;0;14;6;1;121;41;20;38;4;6;5.5;3;3
19;0;13;8;3;124;41;33;44;3.5;5;6;3.5;5.5
22;0;10;5;3;121;39;21;35;3.5;6.5;5;2.5;5.5
19;0;10;;;126;38;32;34;;;;;
20;0;;5;2;;;;;4.5;5.5;5.5;3;3.5
20;0;11;4;1;120;33;31;44;2.5;6.5;5.5;6;5.5
19;0;;;;;;;;;;;;
20;0;12;9;1;144;36;30;33;;;;;
21;0;12;4;2;132;44;43;44;5.5;5;4.5;5.5;5
20;0;;;;;;;;;;;;
20;0;10;;;137;39;45;42;6.5;6;6.5;3;7
19;1;;7;0;;;;;;;;;
20;0;14;6;3;122;42;41;44;4.5;5;4;4.5;6
20;0;13;;;122;41;34;37;5.5;4.5;6.5;2;5
29;0;;9;1;;;;;3;5.5;4.5;6.5;6.5
20;0;;;;;;;;;;;;
22;0;;;;;;;;4;7;5.5;1.5;2.5
20;0;;7;1;;;;;6.5;5.5;1.5;2.5;7
22;0;;2;3;;;;;5.5;5;5;5.5;6
22;0;12;6;1;149;48;40;45;6;6;7;5;5.5
43;1;11;;;118;29;39;27;;;;;
21;0;;;;;;;;;;;;
20;0;12;4;3;99;42;35;38;4.5;3.5;2.5;2;6
21;0;14;8;1;127;43;34;44;4.5;4.5;4.5;2.5;4
19;0;9;5;2;140;49;41;48;4;5;7;6.5;6
21;0;9;5;4;130;39;24;40;3;6.5;7;3.5;6
20;1;12;;;124;41;38;39;;;;;
22;0;;;;;;;;;;;;
19;1;;;;;;;;;;;;
20;0;12;;;146;42;42;42;6;4.5;6.5;4.5;6.5
21;0;12;2;2;139;42;41;41;;;;;
24;1;;9;2;;;;;1;5;4;4.5;6.5
